WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
29.2,Web/app/db configuration,T+174d ,T+188d ,120,3w,120,3w,0%,,,,,,,,,29.1,,0,,
29.3,Server end to end tests,T+189d ,T+193d ,40,1w,40,1w,0%,,,,,,,,,29.2,,0,,
29.4,Stress test,T+194d ,T+198d ,40,1w,40,1w,0%,,,,,,,,,29.3,,0,,
30,Monitoring:,T+189d ,T+213d ,200,1mo 1w,240,1mo 2w,0%,,,,,,,,,29.2,,,,
30.1,"Syslog, snmp Sflow monitoring",T+189d ,T+193d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
30.2,System Monitoring,T+189d ,T+198d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
30.3,Grafana dashboards.,T+199d ,T+208d ,80,2w,80,2w,0%,,,,,,,,,30.2,,0,,
30.4,Alerting/escalation,T+209d ,T+213d ,40,1w,40,1w,0%,,,,,,,,,30.3,,0,,
31,Failure Testing,T+214d ,T+244d ,248,1mo 2w 1d,248,1mo 2w 1d,0%,,,,,,,,,30,,,,
31.1,"Fail a server (remove a drive, remove the network) - confirm alerts come in, confirm tickets are filed, and impact",T+214d ,T+216d ,24,3d,24,3d,0%,,,,,,,,,,,0,,
31.2,"Fail a network device. Confirm alerts come in, tickets filed, etc.",T+217d ,T+219d ,24,3d,24,3d,0%,,,,,,,,,31.1,,0,,
31.3,"Fail a rack of equipment. Confirm alerts, tickets etc.",T+220d ,T+224d ,40,1w,40,1w,0%,,,,,,,,,31.2,,0,,
31.4,"Fail and restore the DC,  confirm things come back up as expected.  Document, and resolve issues.",T+225d ,T+229d ,40,1w,40,1w,0%,,,,,,,,,31.3,,0,,
31.5,Test rolling back a deployment,T+230d ,T+234d ,40,1w,40,1w,0%,,,,,,,,,31.4,,0,,
31.6,"Benchmark the site, and see what your limitations are.",T+235d ,T+244d ,80,2w,80,2w,0%,,,,,,,,,31.5,,0,,
32,Cutover,T+245d ,T+259d ,120,3w,120,3w,0%,,,,,,,,,31,,,,
32.1,Data migration to site,T+245d ,T+259d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
32.2,GO LIVE,T+259d ,T+259d ,,,,,0%,,,,,,,,,32.1,,,,
33,POST INSTALL,T+260d ,T+299d ,320,2mo,640,4mo,0%,,,,,,,,,,,,,
33.1,Archive of old site,T+260d ,T+299d ,320,2mo,320,2mo,0%,,,,,,,,,32.2,,0,,
33.2,Removal of old site,T+260d ,T+299d ,320,2mo,320,2mo,0%,,,,,,,,,32.2,,0,,
34,Every quarter moving forward:,T+259d ,T+259d ,0,0s,0,0s,0%,,,,,,,,,32,,,,
34.1,Review ongoing capacity plan.,T+259d ,T+259d ,,,,,0%,,,,,,,,,,,,,
34.2,Send forecast to integrator / vendors,T+259d ,T+259d ,,,,,0%,,,,,,,,,,,,,
34.3,Order additional power as needed,T+259d ,T+259d ,,,,,0%,,,,,,,,,,,,,
34.4,Order additional space as needed etc.,T+259d ,T+259d ,,,,,0%,,,,,,,,,,,,,
34.5,Review a DR Plan.,T+259d ,T+259d ,,,,,0%,,,,,,,,,,,,,
